№ п/п,Дата,Время,"Мощность, МВт",Температура воздуха (градусы Цельсия) на высоте 2 метра над поверхностью земли,Атмосферное давление на уровне станции (миллиметры ртутного столба),"Атмосферное давление, приведенное к среднему уровню моря (миллиметры ртутного столба) ",Относительная влажность (%) на высоте 2 метра над поверхностью земли,"Направление ветра (румбы) на высоте 10-12 метров над земной поверхностью, осредненное за 10-минутный период , непосредственно предшествовавший сроку наблюдения ","Скорость ветра на высоте 10-12 метров над земной поверхностью, осредненное за 10-минутный период , непосредственно предшествовавший сроку наблюдения (метры в секунду) ",Общая облачность,"Текущая погода, сообщаемая с метеорологической станции ",Прошедшая погода между сроками наблюдения 1,Прошедшая погода между сроками наблюдения 2,"Слоисто-кучевые, слоитсые, кучевые и кучево-дождевые облака","Количество всех наблюдающихся облаков Cl или, при отсутствии облаков Cl, количество всех наблюдащихся облаков Cm",Высота основания самых низких облаков (м),"Высококучевые, высокослоистые и слоисто-дождевые облака","Перистые, перисто-кучевые и перисто-слоистые облака",Горизонтальная дальность видимости (км),,,,,,,,,,,,,,,,,,,,,,,,,
254,26/05/19 16:00,16:00,3.861777778,27.0,757.3,757.8,32,202.5,7,70 – 80%.,"Пыль или песок, поднятые ветром на или вблизи станции в срок наблюдения, но нет хорошо развитого пыльного или песчаного вихря (вихрей), и никакой пыльной или песчаной бури не видно; или, в случае сообщения с судна или с береговой станции, брызги, переносимые ветром на станции. ",Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.",70 – 80%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
255,26/05/19 19:00,19:00,0.185666667,24.0,757.5,758.0,45,247.5,8,40%., ,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",20–30%.,600-1000,"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
256,26/05/19 22:00,22:00,0,18.6,758.8,759.3,65,225,2,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",20–30%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
257,27/05/19 1:00,1:00,0,16.8,758.8,759.3,81,202.5,3,"90  или более, но не 100%", ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
258,27/05/19 4:00,4:00,0.500166667,16.1,758.3,758.8,87,202.5,3,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",50%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",4.0,,,,,,,,,,,,,,,,,,,,,,,,,
259,27/05/19 7:00,7:00,4.735277778,17.0,758.4,758.9,88,225,5,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",70 – 80%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",4.0,,,,,,,,,,,,,,,,,,,,,,,,,
260,27/05/19 10:00,10:00,8.704222222,20.0,758.8,759.3,75,247.5,3,100%., ,,,"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.",100%.,600-1000,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
261,27/05/19 13:00,13:00,6.494,24.4,758.4,758.8,52,247.5,2,100%., ,,,"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.",60%.,600-1000,"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).",,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
262,27/05/19 16:00,16:00,3.024555556,22.6,758.5,759.0,69,315,4,100%.,"Гроза, но без осадков, в срок наблюдения. ",Гроза (грозы) с осадками или без них.,Ливень (ливни).,"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.",60%.,600-1000,"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).",,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
263,27/05/19 19:00,19:00,0.207777778,23.7,758.8,759.3,48,315,5,100%.,Состояние неба в общем не изменилось. ,Гроза (грозы) с осадками или без них.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
264,27/05/19 22:00,22:00,0,20.6,760.3,760.8,60,292.5,2,"90  или более, но не 100%",Состояние неба в общем не изменилось. ,Гроза (грозы) с осадками или без них.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
265,28/05/19 1:00,1:00,0,17.1,760.6,761.0,81,247.5,3,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
266,28/05/19 4:00,4:00,0.3665,16.0,760.9,761.4,84,292.5,2,50%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",50%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
267,28/05/19 7:00,7:00,5.502944444,17.2,761.7,762.1,76,315,3,20–30%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
268,28/05/19 10:00,10:00,10.35255556,23.2,762.5,763.0,46,315,4,40%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",40%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
269,28/05/19 13:00,13:00,9.801444444,27.5,762.6,763.0,26,315,4,40%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","10%  или менее, но не 0","2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
270,28/05/19 16:00,16:00,4.699333333,28.1,762.2,762.7,26,315,5,20–30%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
271,28/05/19 19:00,19:00,0.181222222,28.2,762.1,762.5,22,292.5,4,Облаков нет., ,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
272,28/05/19 22:00,22:00,0,22.0,762.9,763.4,41,292.5,2,Облаков нет., ,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
273,29/05/19 1:00,1:00,0,18.7,763.0,763.6,56,315,2,Облаков нет., ,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
274,29/05/19 4:00,4:00,0.309333333,16.6,763.0,763.6,66,315,3,Облаков нет., ,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
275,29/05/19 7:00,7:00,5.830222222,17.8,763.7,764.2,66,337.5,2,Облаков нет., ,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
276,29/05/19 10:00,10:00,8.848833333,25.7,764.1,764.6,43,0,3,"10%  или менее, но не 0", ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
277,29/05/19 13:00,13:00,7.286944444,30.3,763.9,764.4,28,22.5,4,40%., ,,,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.",40%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
278,29/05/19 16:00,16:00,3.423388889,31.5,763.3,763.8,25,0,2,20–30%., ,,,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.",20–30%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
279,29/05/19 19:00,19:00,0.1455,30.0,763.0,763.6,29,0,3,Облаков нет., ,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
280,29/05/19 22:00,22:00,0,24.7,763.9,764.4,34,0,2,Облаков нет., ,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
281,30/05/19 1:00,1:00,0,21.4,764.2,764.7,47,0,2,Облаков нет., ,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
282,30/05/19 4:00,4:00,0.307222222,18.8,764.2,764.7,54,22.5,1,Облаков нет., ,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
283,30/05/19 7:00,7:00,5.954333333,20.7,765.0,765.5,47,45,2,Облаков нет., ,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
284,30/05/19 10:00,10:00,10.44055556,29.2,765.6,766.0,26,67.5,3,"10%  или менее, но не 0", ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
285,30/05/19 13:00,13:00,8.707722222,31.8,765.0,765.4,19,45,4,20–30%., ,,,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","10%  или менее, но не 0",1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
286,30/05/19 16:00,16:00,3.784,32.6,764.2,764.7,18,45,3,20–30%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
287,30/05/19 19:00,19:00,0.151722222,31.6,763.9,764.3,21,45,2,20–30%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","10%  или менее, но не 0","2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
288,30/05/19 22:00,22:00,0,25.6,764.5,764.9,34,0,2,20–30%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
289,31/05/19 1:00,1:00,0,23.5,764.4,764.8,41,22.5,2,20–30%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
290,31/05/19 4:00,4:00,0.326611111,21.1,764.4,764.9,51,45,2,20–30%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
291,31/05/19 7:00,7:00,5.723444444,23.0,764.5,764.9,49,0,1,"10%  или менее, но не 0", ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
292,31/05/19 10:00,10:00,10.765,30.0,764.1,764.6,31,0,2,Облаков нет., ,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
293,31/05/19 13:00,13:00,10.00594444,33.2,763.3,763.7,20,22.5,2,20–30%., ,,,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.",20–30%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
294,31/05/19 16:00,16:00,3.854944444,34.5,762.2,762.7,17,0,2,20–30%., ,,,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.",20–30%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
295,31/05/19 19:00,19:00,0.196888889,33.5,761.4,761.9,19,0,2,40%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",40%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,"Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
296,31/05/19 22:00,22:00,0,27.3,761.5,762.0,34,0,2,70 – 80%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",70 – 80%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,"Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
297,01/06/19 1:00,1:00,0,23.7,761.4,761.8,40,0,2,Облаков нет., ,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
298,01/06/19 4:00,4:00,0.286555556,22.1,761.3,761.8,43,45,1,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
299,01/06/19 7:00,7:00,4.279444444,24.5,761.2,761.7,40,0,1,70 – 80%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",70 – 80%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,"Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
300,01/06/19 10:00,10:00,8.026888889,30.7,761.0,761.5,29,0,3,Облаков нет., ,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
301,01/06/19 13:00,13:00,6.995611111,35.2,760.6,761.0,18,22.5,3,20–30%., ,,,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.",20–30%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
302,01/06/19 16:00,16:00,4.645777778,35.8,759.6,760.1,15,0,3,"10%  или менее, но не 0", ,,,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","10%  или менее, но не 0",1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
303,01/06/19 19:00,19:00,0.188555556,34.5,759.2,759.7,19,337.5,2,"10%  или менее, но не 0", ,,,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","10%  или менее, но не 0",1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
304,01/06/19 22:00,22:00,0,27.7,759.8,760.3,37,337.5,2,Облаков нет., ,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
305,02/06/19 1:00,1:00,0,23.3,760.0,760.5,44,337.5,1,Облаков нет., ,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
306,02/06/19 4:00,4:00,0.323,22.2,759.8,760.3,48,45,2,Облаков нет., ,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
307,02/06/19 7:00,7:00,5.658333333,23.4,760.4,760.9,46,112.5,1,"10%  или менее, но не 0", ,,,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","10%  или менее, но не 0",1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
308,02/06/19 10:00,10:00,10.28488889,30.1,760.7,761.2,33,67.5,2,Облаков нет., ,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
309,02/06/19 13:00,13:00,9.21,36.3,760.3,760.7,19,90,2,40%., ,,,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.",40%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
310,02/06/19 16:00,16:00,4.233611111,37.1,759.3,759.7,14,90,3,70 – 80%., ,,,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.",70 – 80%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
311,02/06/19 19:00,19:00,0.173222222,33.9,758.5,758.9,19,90,3,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","10%  или менее, но не 0","2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
312,02/06/19 22:00,22:00,0,29.8,758.8,759.2,24,135,4,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
313,03/06/19 1:00,1:00,0,26.5,759.1,759.6,25,157.5,2,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
314,03/06/19 4:00,4:00,0.328833333,22.4,759.1,759.6,33,180,2,70 – 80%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",70 – 80%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
315,03/06/19 7:00,7:00,5.706722222,22.4,759.4,759.9,44,112.5,2,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",70 – 80%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
316,03/06/19 10:00,10:00,7.630277778,31.1,759.0,759.4,22,180,3,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","10%  или менее, но не 0","2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
317,03/06/19 13:00,13:00,6.214277778,35.8,758.8,759.2,12,180,4,"90  или более, но не 100%", ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","10%  или менее, но не 0","2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
318,03/06/19 16:00,16:00,2.623,36.3,757.7,758.2,12,180,3,100%., ,,,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","10%  или менее, но не 0",1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
319,03/06/19 19:00,19:00,0.147722222,32.5,757.3,757.9,27,337.5,3,100%., ,,,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.",50%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
320,03/06/19 22:00,22:00,0,27.5,758.3,758.8,41,337.5,5,100%., ,,,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.",40%.,1000-1500,"Высококучевые просвечивающие, расположенные на одном уровне.",,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
321,04/06/19 1:00,1:00,0,25.1,759.3,759.7,54,337.5,6,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.",,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
322,04/06/19 4:00,4:00,0.079333333,22.2,758.8,759.4,64,337.5,2,100%.,Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.",20–30%.,600-1000,"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).",,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
323,04/06/19 7:00,7:00,1.068722222,21.5,759.8,760.3,80,337.5,4,"90  или более, но не 100%", ,,,"Слоисто-кучевые, образовавшиеся из кучевых.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
324,04/06/19 10:00,10:00,8.180277778,24.7,761.2,761.6,55,0,5,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
325,04/06/19 13:00,13:00,8.089166667,28.2,761.8,762.3,37,0,5,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
326,04/06/19 16:00,16:00,3.317722222,28.8,762.1,762.7,28,0,5,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
327,04/06/19 19:00,19:00,0.177666667,26.9,762.3,762.7,28,22.5,4,70 – 80%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
328,04/06/19 22:00,22:00,0,22.1,763.3,763.8,29,22.5,3,40%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
329,05/06/19 1:00,1:00,0,19.2,764.5,764.9,34,22.5,4,20–30%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
